,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Algarve,19252,19246,0,10340,10137,76,0,16016,14503,68,0,1074
Albufeira,1993,1993,0,1004,997,0,0,1770,1644,0,0,114
Alcoutim,59,59,0,24,24,0,0,52,52,0,0,0
Aljezur,219,219,0,118,118,0,0,147,147,0,0,0
Castro Marim,272,272,0,120,120,0,0,145,145,0,0,0
Faro,2836,2832,0,1536,1494,0,0,2374,2147,0,0,171
Lagoa,1019,1019,0,581,549,25,0,868,810,0,0,54
Lagos,1288,1288,0,779,761,0,0,1177,1033,0,0,66
Loulé,3247,3247,0,1696,1690,0,0,2560,2250,0,0,281
Monchique,138,138,0,88,88,0,0,126,126,0,0,0
Olhão,1895,1895,0,1035,1010,0,0,1588,1423,0,0,95
Portimão,2514,2514,0,1359,1303,51,0,2157,1950,68,0,87
São Brás de Alportel,436,436,0,256,256,0,0,346,327,0,0,19
Silves,1399,1399,0,692,688,0,0,1101,991,0,0,101
Tavira,948,948,0,520,516,0,0,752,697,0,0,32
Vila do Bispo,230,230,0,93,93,0,0,114,114,0,0,0
Vila Real de Santo António,759,757,0,439,430,0,0,739,647,0,0,54
R. A. Açores,10914,10571,0,5619,5253,0,0,9032,7621,0,0,638
Santa Maria,222,222,0,116,116,0,0,170,170,0,0,0
Vila do Porto,222,222,0,116,116,0,0,170,170,0,0,0
São Miguel,6821,6578,0,3430,3188,0,0,5688,4762,0,0,420
